Index,German,English
2478,"die temperatur, -en",the temperature
2479,"die terrasse, -n",the terrace
2480,"die theaterkarte, -n",the theatre ticket
2481,"die theke, -n","the bar, the counter"
2482,"die therapie, -n",the therapy
2483,"die thermosflasche, -n",the thermos
2484,"der tiefkühlschrank, -""e",the freezer; the deep freeze
2485,"die tochter, -""",the daughter
2486,"die toilette, -n",the toilet
2487,"die tomate, -n",the tomato
2488,"die tomatensoße, -n",the tomato sauce
2489,"die tonne, -n","the bin, the barrel, the ton"
2490,"die torte, -n",the layer cake
2491,"die touristenattraktion, -en",the tourist attraction
2492,"die tragödie, -n",the tragedy
2493,"die treppe, -n","the stairs, the staircase"
2494,"die trompete, -n",the trumpet
2495,"die tulpe, -n",the tulip
2496,"die tür, -en",the door
2497,die türkei,turkey (the country)
2498,"die türkin, -nen",the female turk
2499,"die turnhalle, -n",the gymnasium
2500,"die u-bahn, -en","the underground tube, the metro"
2501,"die überfahrt, -en",the sea crossing
2502,"die übernachtung, -en",the overnight stay
2503,"die überraschung, -en",the suprise
2504,"die übersetzung, -en",the translation
2505,"die übung, -en","the practice, exercise, seminar"
2506,"die uhr, -en","the watch, the clock"
2507,"die uhrzeit, -en",the time (of day)
2508,die ukraine,the ukraine
2509,"die umfrage, -n","the survey, the [opinion] poll"
2510,"die umleitung, -en","the diversion, the detour"
2511,"die umwelt, -en",the environment
2512,"die uni, -s",the university (colloquial)
2513,"die universität, -en",the university
2514,"die universitätsstadt, -""e",the university town
2515,"die unterhaltung, -en",1. the entertainment / conversation; 2. the maintenance / upkeep
2516,"die unterhose, -n","the underpants, knickers"
2517,"die unterkunft, -""e",the accommodation
2518,"die unterschrift, -en",the signature
2519,"die untertasse, -n",the saucer
2520,die unterwäsche,the underwear (plural only)
2521,"die urgroßmutter, -""",the great grandmother
2522,"die utopie, -n",the utopia
2523,die uv-strahlen,the uv-rays (plural only)
2524,die vanillesoße,the vanilla sauce (no plural)
2525,"die vase, -n",the vase
2526,die venus,venus (no plural)
2527,"die verabredung, -en","the arrangement, the appointment"
2528,"die veranstaltung, -en","the event, function"
2529,"die verantwortung, -en",the responsibility
2530,"die verbindung, -en",the contact
2531,die vereinigten staaten,the united states (plural only)
2532,"die versammlung, -en","the assembly, the meeting"
2533,"die verschmutzung, -en",the pollution (pl. seldom)
2534,"die versicherung, -en",the insurance
2535,"die verspätung, -en",the delay
2536,"die verwandtschaft, -en",the kinship; relatives; relations (pl in english; sing. in german)
2537,"die verwandte, -n",the female relative
2538,"die videokamera, -s",the video camera
2539,"die viertelstunde, -n",the quarter hour
2540,"die villa, die villen",the villa
2541,"die vokabel, -n",the word
2542,"die volksmusik, -en",the folk music
2543,"die vollkaskoversicherung, -en",the comprehensive auto insurance
2544,die vollpension,the full board (no plural)
2545,"die vorderseite, -n",the front (side); the front page
2546,"die vorfahrt, -en","the right of way, the priority"
2547,"die vorlesung, -en",the lecture
2548,"die vorschau, -en",the preview
2549,"die vorspeise, -n",the hors d'oeuvre; the starter
2550,"die vorstellung, -en","1. the presentation, the performance 2. the concept, idea"
2551,"die vorwahl, -en",1. the preliminary election. 2. the dialing code
2552,"die waage, -n",the scales
2553,"die wahrheit, -en",the truth
2554,"die währung, -en",the currency
2555,die wärme,warmth (no plural)
2556,"die ware, -n","the merchandise, ware(s), commodity"
2557,"die warnung, -en",the warning
2558,"die wartezeit, -en",the waiting period
2559,"die warze, -n",the wart
2560,die wäsche,"the washing, the laundry; the linen (no plural)"
2561,die wäsche waschen,to do the laundry
2562,"die waschküche, -n",the laundry (room)
2563,"die waschmaschine, -n",the washing machine
2564,"die website, -s",the website
2565,die weihnachtsferien,the christmas vacation (plural only)
2566,"die weihnachtsgans, -""e",the christmas goose
2567,"die weise, -n","the way (""manner of doing"")"
2568,"die weißwurst, -""e",the veal sausage
2569,"die welle, -n",the wave
2570,"die welt, -en",the world
2571,"die weltfirma, die weltfirmen",the worldwide company
2572,"die weltreise, -n",the world trip
2573,"die werbung, -en",the advertising; the advertisement
2574,"die werkstatt, -""en",the workshop
2575,"die wette, -n",the bet
2576,"die wetterkarte, -n",the weather map
2577,"die wg, -s",the shared housing (colloquial) – abbreviation
2578,die wichtigkeit,the importance (no plural)
2579,die wiedervereinigung,the (german) reunification (no plural)
2580,"die wiese, -n",the meadow
2581,"die windschutzscheibe, -n",the windscreen
2582,"die winterjacke, -n",the winter jacket
2583,die wirklichkeit,the reality (no plural)
2584,"die wirtschaft, -en",the economy;
2585,"die witwe, -n",the widow
2586,"die woche, -n",the week
2587,"die wochenzeitung, -en",the weekly newspaper
2588,"die wohngemeinschaft, -en",the shared housing (long form)
2589,"die wohnung, -en",the flat / apartment
2590,"die wohnzimmergarnitur, -en",the living room set
2591,"die wolke, -n",the cloud
2592,die wolle,the wool (no plural)
2593,"die wurst, -""e",the sausage
2594,die wut,the rage (no plural)
2595,"die zahl, -en",the number (2)
2596,"die zahnbürste, -n",the toothbrush
2597,"die zahnklinik, -en",the dental clinic
2598,die zahnpasta,the toothpaste (no plural)
2599,die zahnschmerzen,the toothache (plural only)
2600,"der zebrastreifen, -",the zebra crossing / pedestrian crossing
2601,"das zebra, -s",the zebra
2602,"die zehe, -n",the toe
2603,"die zeichnung, -en",the drawing
2604,"die zeile, -n","the line (of text), the row"
2605,"die zeit, -en",the time
2606,"die zeitschrift, -en",the journal /magazine / periodical
2607,"die zeitung, -en",the newspaper
2608,"die zensur, -en","the mark, the grade"
2609,"die zeugin, -nen",the female witness
2610,"die zigarette, -n",the cigarette
2611,"die zigarre, -n",the cigar
2612,"die zimmerpflanze, -n",the houseplant
2613,"der zins, -en",the interest (fin.); the rate of interest
2614,"die zone, -n",the zone
2615,die zoologie,the zoology (no plural)
2616,"die zukunft, -""e",the future
2617,"die zunge, -n",the tongue
2618,die zusammenarbeit,the cooperation (no plural)
2619,"die zusammenschau, -en","the synopsis, the summary"
2620,"der zusatz, -""e","the additive, the supplement"
2621,die zusatz-krankenversicherung,the supplementary medical insurance (no plural)
2622,"die zwischenprüfung, -en",the intermediate examination
2623,dienstags,on tuesdays
2624,dies,this (uninflected form)
2625,diese jacke gefällt mir.,i like this jacket.
2626,diese jacke steht dir.,this jacket suits you.
2627,"dieser, diese, dieses","this (masc, fem, neut)"
2628,diesmal,this time
2629,digital,digital
2630,direkt,direct/directly
2631,diskriminiert sein,to be discriminated against
2632,diskutieren,to discuss (2)
2633,doch,(emphatic marker)
2634,donnern,to thunder
2635,doof,stupid
2636,doppelt,doubled
2637,dort,there
2638,dort drüben,yonder
2639,dort unten,down there
2640,dorthin,to there
2641,draußen,outside / out there
2642,drei euro das stück,three euros apiece
2643,dreisprachig,trilingual
2644,dringend,urgent
2645,drinnen,inside / inside there
2646,drogensüchtig,drug dependent
2647,drohen,to threaten
2648,dröhnen,to boom
2649,drucken,to print
2650,drücken,to press
2651,du hast recht.,you're right.
2652,du hast schwein gehabt.,you were lucky.
2653,dual,dual
2654,dumm,"stupid, thick, dense"
2655,dunkel,dark
2656,dünn,thin
2657,durch,through
2658,"durchfallen, fiel durch, durchgefallen",to fail an exam; to fall through
2659,"durchlesen, las durch, durchgelesen",to read through
2660,durchmachen,to go through
2661,"dürfen, durfte",to be allowed to
2662,duschen,to shower
2663,duzen,to call du (instead of sie)
2664,eben,just
2665,ebenso,"just as, in the same way"
2666,echt,genuine / real
2667,echt spitze,really great
2668,egal,"no matter, regardless"
2669,ehemalig,former
2670,ehrlich,honest
2671,eifersüchtig,jealous (resentful)
2672,eigen,own
2673,eigentlich,"actually, really"
2674,eilen,to hurry
2675,ein,"one, a"
2676,ein becher joghurt,a container of yogurt
2677,ein bisschen,a bit
2678,ein glas orangensaft,a glass of orange juice
2679,ein grünes bürschchen,a snotty kid
2680,ein haar in der suppe finden,to find fault with something
2681,ein paar,"a couple, a few"
2682,ein stück kuchen,a piece of cake (lit.)
2683,einander,"each other, one another"
2684,eine allein stehende mutter,a single mother
2685,eine extrawurst wollen,to want special treatment
2686,eine frage stellen,to pose a question
2687,eine rede halten,to give a speech
2688,eine reise machen,to take a trip
2689,eine scheibe brot,a slice of bread
2690,eine schüssel müsli,a bowl of muesli
2691,eine schwere erkältung,a bad cold
2692,eine stunde lang,one hour long
2693,eine tafel schokolade,a chocolate bar
2694,eine tasse kaffee,a cup of coffee
2695,eineinhalb,one and a half (2)
2696,einen bärenhunger haben,to be famished
2697,einen guten rutsch ins neue jahr!,happy new year!
2698,einen spaziergang machen,to go for a walk
2699,eines tages,one day
2700,einfach,"1. easy, simply. 2. single ticket"
2701,"einfallen, fiel ein, eingefallen","to come to mind, to think of"
2702,einheitlich,"standard, uniform, consistent"
2703,einige,a few
2704,einigermaßen,"somewhat, fairly"
2705,einkaufen,to shop
2706,einkaufen gehen,to go shopping
2707,"einladen, lud ein, eingeladen",to invite
2708,einmal,once
2709,einmarschieren,to invade; to march into
2710,einpacken,to pack (1); to wrap
2711,einreichen,"to hand in, to submit"
2712,eins aufs dach kriegen,to be bawled out; to get it in the neck
2713,"einschlafen, schlief ein, eingeschlafen",to fall asleep; to go to sleep
2714,"einschlagen, schlug ein, eingeschlagen","to smash, hammer in, break down; to wrap"
2715,einschmieren,"to rub in, to lubricate"
2716,"einsteigen, stieg ein, eingestiegen",to get on or in a vehicle
2717,eintauchen,"to dip, to immerse sth or sb"
2718,einverstanden,agreed; agreeable
2719,einwandern,to immigrate
2720,"einwerfen, warf ein, eingeworfen","1. to post a letter; 2. to smash, to throw."
2721,"einziehen, zog ein, eingezogen","to move in; take office (+sein) ; to hold in, retract (+haben)"
2722,einzig,"single, only, sole"
2723,das eislaufen,ice skating (no plural)
2724,eisig,icy
2725,elegant,elegant
2726,elektrisch,electric
2727,die elektronische datenverarbeitung (edv),data processing/ it (abbrev.) no plural
2728,emigrieren,to emigrate (2)
2729,"empfehlen, empfahl, empfohlen",to recommend
2730,ende juli,the end of july
2731,enden,to end
2732,endlich,"at last, finally"
2733,endlos,endless
2734,eng,"narrow, tight"
2735,england,england
2736,englisch,english (adj.)
2737,enorm,enormous
2738,enterben,to disinherit
2739,entfernt,"distant, remote, far away"
2740,"entgehen, entging, entgangen","to avoid, to escape"
2741,"entkommen, entkam, entkommen",to escape
2742,entlang,along
2743,"entscheiden, entschied, entschieden",to decide (2)
2744,entschuldigung!,excuse me! (polite); sorry!
2745,entsorgen,to dispose of
2746,enttäuschen,to disappoint; to be disappointing
2747,enttäuscht,disappointed
2748,entweder ... oder ...,either ... or ...
2749,"entwerfen, entwarf, entworfen",to design
2750,entwerten,to cancel or stamp a ticket
2751,er gleicht seinem bruder wie ein ei dem anderen.,he and his brother are exactly alike.
2752,er irrt sich nie!,he never makes mistakes!
2753,er ist arzt von beruf.,he is a physician by trade.
2754,er ist nicht auf den kopf gefallen.,he's no fool.
2755,er tut dir nichts.,he won't hurt you.
2756,er wird koch.,he's going to become a cook.
2757,"erfahren, erfuhr, erfahren","to undergo, to experience, to find out"
2758,erfassen,"to seize, to record (admin.)"
2759,ergänzen,"to complete, to supply"
2760,erinnern,to remind
2761,erkältet sein,to have a cold
2762,"erkennen, erkannte, erkannt",to recognise
2763,erklärbar,explicable
2764,erklären,to explain
2765,erlauben,to allow
2766,erleben,"to experience, to live through"
2767,ermorden,to murder
2768,ermüdend,"exhausting, tiring"
2769,ernähren,to feed someone/an animal
2770,ernst,serious
2771,erobern,to conquer
2772,"erraten, erriet, erraten",to guess
2773,erreichen,"to reach, to contact, to achieve"
2774,"erscheinen, erschien, erschienen","to appear, to turn up (fam)"
2775,ersetzen,to replace
2776,erst,"first, at first"
2777,"ertrinken, ertrank, ertrunken",to drown
2778,erzählen,"to tell, to narrate"
2779,erzählen von,to tell about
2780,es allen recht machen,to try to please everyone
2781,es blitzt.,there's lightning.
2782,es donnert.,it's thundering.
2783,es gibt,there is/are
2784,es hat keine eile.,there's no rush.
2785,es ist alles für die katz.,it's all for nothing.
2786,es ist alles in butter.,everything is a-okay
2787,es ist heiter.,it is sunny with some clouds.
2788,es kommt darauf an ...,it depends on ...
2789,es macht mir spaß.,it's fun for me.
2790,aufbewahren,"to keep, to look after, to store"
2791,es regnet.,it's raining.
2792,es tut mir leid.,i'm really sorry.
2793,essbar,edible
2794,"essen, aß, gegessen",to eat
2795,estland,estonia
2796,etwa,"about, approximately"
2797,etwas,something
2798,etwas passendes,something suitable
2799,euch ist nicht bewusst ...,you guys don't realise ...
2800,euer,your (inf. pl.)
2801,europa,europe
2802,europäisch,european (adj.)
2803,ewig,forever
2804,exotisch,exotic
2805,exportieren,to export
2806,extravagant,extravagant
2807,fabelhaft,fabulous
2808,"fahren, fuhr, gefahren","to drive, to go by vehicle"
2809,fair,fair
2810,"fallen, fiel, gefallen",to fall
2811,fällen,to fell
2812,fallen lassen,to drop (sth.)
2813,falsch,wrong
2814,falten,to fold
2815,"fangen, fing, gefangen",to catch
2816,fantastisch,fantastic
2817,freiberuflich,free-lance; self-employed
2818,färben,to dye or colour
2819,färben lassen,to have dyed or coloured
2820,farblos,colourless
2821,fast,almost (2)
2822,faul,lazy
2823,faulenzen,to laze about
2824,fehlen,to be missing
2825,feiern,to celebrate
2826,fensterlos,windowless
2827,ferien machen,to go on vacation
2828,fertig,(with verbs) finished; ready
2829,"fernsehen, sah fern, ferngesehen",to watch television
2830,"der dudelsack, -""e",the (set of) bagpipes
2831,fertig lesen,to finish reading
2832,fertig schreiben,to finish writing
2833,fett gedruckt,in bold type
2834,fettig,fatty
2835,feucht,humid (1)
2836,fieberhaft,feverish
2837,finanziell,financial
2838,"finden, fand, gefunden",to find
2839,finnland,finland
2840,fischen,to fish (2)
2841,fit,fit
2842,flach,flat
2843,fleischlos,meatless
2844,fleißig,"hard-working, diligent, industrious"
2845,flicken,to mend; to patch
2846,"fliegen, flog, geflogen",to fly
2847,"fliehen, floh, geflohen",to flee
2848,"fließen, floss, geflossen",to flow
2849,fließend,fluently/ fluent
2850,flirten,to flirt
2851,folgen,to follow (+ d)
2852,folgend,following
2853,formlos,shapeless
2854,fort,"away, gone"
2855,fotografieren,to photograph
2856,fragen,to ask (2)
2857,fragen nach,to ask about
2858,frankreich,france
2859,französisch,french (adj.)
2860,frau,"mrs., ms."
2861,fräulein,"miss (neuter), waitress"
2862,fräulein!,waitress!
2863,frech,cheeky
2864,frei,free
2865,"fressen, fraß, gefressen","to devour, to eat (of animals)"
2866,freundlich,friendly
2867,"frieren, fror, gefroren",to be cold
2868,frisch,fresh
2869,froh,happy (1)
2870,frohe weihnachten!,merry christmas! (1)
2871,fröhliche weihnachten!,merry christmas! (2)
2872,fromm,pious
2873,früh,early
2874,frühstücken,to have breakfast
2875,führen,to lead
2876,füllen,to fill
2877,funktionieren,to function
2878,für,for
2879,furchtbar,"dreadful, terrible (1)"
2880,füttern,to feed animals
2881,gähnen,to yawn
2882,galoppieren,to gallop
2883,ganz,completely
2884,ganz kurz,very short
2885,gar,cooked; done (in cooking)
2886,gar nicht,not at all
2887,gar nichts,nothing at all
2888,"geben, gab, gegeben",to give
2889,geblümt,flowered / floral
2890,geboren,"born, by birth"
2891,gebrauchen,to use (2)
2892,gebraucht,"second hand, used"
2893,gebührenfrei,without fee (1)
2894,geduldig,patient
2895,geeignet,"suitable, appropriate"
2896,gefährlich,dangerous
2897,"gefallen, gefiel, gefallen",to like sth (+ dat.); to be pleasing
2898,gegen,"against, around/about (time)"
2899,gegenüber,"across (from), opposite"
2900,"gehen, ging, gegangen",to go
2901,gehören,to belong to [+d]
2902,gekleidet,dressed
2903,gelb,yellow
2904,geliebt,beloved
2905,"gelingen, gelang, gelungen",to succeed
2906,"gelten, galt, gegolten",to be in force/to be valid/to be in operation
2907,gemein,"i) common, in common: ii) mean, nasty"
2908,gemütlich,cosy
2909,genau,exactly
2910,genauso gut,just as well
2911,genial,"brilliant, ingenious"
2912,"genießen, genoss, genossen","to enjoy, relish, savour"
2913,genug,enough
2914,genügen,to be sufficient; to be enough
2915,geometrisch,geometric
2916,gerade,"just, just now,  (adv); straight (adj)"
2917,geradeaus,straight ahead
2918,gern,gladly
2919,"geschehen, geschah, geschehen",to happen
2920,geschieden,divorced
2921,geschlitzt,slashed / slit
2922,geschlossen,closed
2923,geschmacklos,tasteless
2924,geschmackvoll,tasteful
2925,gestattet,"permitted, allowed"
2926,gestern,yesterday
2927,gestern nacht,last night
2928,gestreift,striped
2929,gesund,healthy
2930,getrennt,separated
2931,"gewinnen, gewann, gewonnen",to win
2932,gewöhnlich,usual / usually (1)
2933,"gießen, goss, gegossen","to water, to spill, to pour"
2934,glatt,smooth
2935,glauben,to believe
2936,gleich,"1. equally, same; 2. immediately"
2937,gleich um die ecke,right around the corner
2938,gleichgültig,indifferent / uninterested
2939,glitzern,to glitter
2940,glücklich,"happy (2), fortunate, lucky"
2941,golden,golden
2942,"der gott, -""er",the god
2943,gott sei dank!,thank god!
2944,gottlos,godless
2945,gratis,"without charge (2), free"
2946,gratulieren,to congratulate
2947,grau,grey
2948,grausam,"cruel, terrible"
2949,grenzen an,to border on
2950,griechenland,greece
2951,griechisch,greek (adj.)
2952,groß,big
2953,großzügig,generous
2954,grüezi!,hello! (swiss dialect)
2955,grün,green
2956,gründen,"to establish, to found"
2957,grunzen,to grunt
2958,grüß dich!,hi!
2959,grüß gott!,hello! (in southern germany and austria)
2960,grüßen,"to greet, to say hello"
2961,gucken,to look
2962,gültig,valid
2963,günstig,favourable / reasonable
2964,gurgeln,to gargle
2965,gut,good
2966,gute nacht!,good night!
2967,guten abend!,good evening!
2968,guten appetit!,enjoy your meal!
2969,guten morgen!,good morning!
2970,guten tag!,good day!
2971,gütig,"kind, benign"
2972,haarig,hairy
2973,haarlos,hairless
2974,"haben, hatte, gehabt",to have
2975,hageln,to hail (weather)
2976,halb,half
2977,halb drei,half past two
2978,hallo!,hello!
2979,hals- und beinbruch!,break a leg!
2980,"halten, hielt, gehalten","to hold, to stop, to keep"
2981,hand und fuß haben,to make sense
2982,handgestrickt,hand-knitted
2983,hängen,to hang
2984,harmlos,harmless
2985,hart,"hard, harsh, severe"
2986,hassen,to hate
2987,hässlich,ugly
2988,"hauen, hieb, gehauen","to hit, beat, carve or chop"
2989,häufig,"often, frequently"
2990,"heimkommen, kam heim, heimgekommen",to come home
2991,heiraten,to marry
2992,heiß,hot
2993,"heißen, hieß, geheißen",to be called
2994,heiter,"cheerful, amusing; bright (of weather)"
2995,heizen,to heat
2996,"helfen, half, geholfen",to help
2997,hell,"light (of colour), bright, clear"
2998,heraufziehen,1. to pull up (sep + haben) 2. to approach or gather (insep. + sein)
2999,"herausfinden, fand heraus, herausgefunden",to find out (2); to discover
3000,"herausgeben, gab heraus, herausgegeben",to give out
3001,"herauskommen, kam heraus, herausgekommen",to come out (1)
3002,"herausziehen, zog heraus, herausgezogen",to pull out
3003,herein!,come in!
3004,"hereinkommen, kam herein, hereingekommen",to come in
3005,"herfahren, fuhr her, hergefahren","to come here, to drive here"
3006,herr,mr.
3007,herr ober!,waiter!
3008,herrlich,splendid
3009,herüberspringen,to jump across (toward the speaker)
3010,"herumsitzen, saß herum, herumgesessen",to sit around; to be idle
3011,"herunterfallen, fiel herunter, heruntergefallen",to fall down (1)
3012,"herunterladen, lud herunter, heruntergeladen",to download
3013,herzlich,"warm, hearty"
3014,alles gute zum geburtstag!,happy birthday!
3015,herzliche grüße,best wishes; best regards (closing of a letter)
3016,herzlos,heartless
3017,heulen,"to sob, cry heavily"
3018,heute,today
3019,heute abend,this evening; tonight
3020,heute habe ich frei.,today i have the day off.
3021,heute morgen,this morning
3022,heute nachmittag,this afternoon
3023,heutzutage,"nowadays, these days"
3024,hier,here
3025,hier unten,down here
3026,hilflos,helpless
3027,hilfreich,"helpful, supportive"
3028,hilfsbereit,"helpful, eager to help, cooperative"
3029,himmel und hölle,hopscotch (lit. heaven and hell)
3030,hin und zurück,there and back
3031,"hinausgehen, ging hinaus, hinausgegangen",to go out (3)
3032,"hineinfahren, fuhr hinein, hineingefahren",to drive in
3033,"hineingehen, ging hinein, hineingegangen",to go in (1)
3034,"hinfahren, fuhr hin, hingefahren",to drive there
3035,hingucken,to look askance at; to peer closely
3036,hinlegen,to lay sth down
3037,sich hinsetzen,to sit down
3038,hinten,at the back
3039,hinter,behind
3040,hinterfragen,to ask about the background; analyse
3041,"hinterlassen, ließ hinter, hintergelassen",1. to leave (sb or sth) behind; 2. to leave or bequeath
3042,"hinüberspringen, sprang hinüber, hinübergesprungen",to jump across to sth; to run across to sth/sb
3043,"hinunterfallen, fiel hinunter, hinuntergefallen",to fall down (2)
3044,hinunterschauen,to look down (at sth/sb)
3045,historisch,historical
3046,hoch,"high, tall"
3047,hochachtungsvoll,"yours faithfully, yours respectfully (formal)"
3048,höchstens,"at the most, at best"
3049,hoffen,to hope
3050,hoffentlich,hopefully
3051,hoffnungslos,hopeless
3052,höflich,"polite, courteous"
3053,hoh-,high- (prefix)
3054,holen,to fetch
3055,niederländisch,dutch (adj.)
3056,höllisch,hellish
3057,hörbar,audible
3058,hören,to hear
3059,hübsch,pretty
3060,hügelig,hilly
3061,human,humane
3062,hungern,"to go hungry, to starve"
3063,hungrig,hungry
3064,hupen,"to beep, to hoot"
3065,ice,intercity express
3066,ich habe es satt.,i'm sick of it.
3067,ich habe hunger.,i'm hungry.
3068,ich habe kein auge zugetan.,i didn't sleep a wink.
3069,ich habe keine lust.,i don't feel like it.
3070,ich habe lust auf eine tafel schokolade.,i feel like having a chocolate bar.
3071,ich möchte ...,i would like ...
3072,ich weiß von nichts.,i don't know anything about it.
3073,ideal,ideal
3074,identisch,identical
3075,ihr,"her; you (plural, fam.); their"
3076,ihr,your (polite)
3077,im durchschnitt,on average
3078,im erdgeschoss,on the first (ground) floor
3079,im freien,in the open air / alfresco / out-of-doors
3080,im voraus,"in advance, beforehand"
3081,imaginär,imaginary
3082,immer,always
3083,immer mehr,more and more
3084,immer noch,"still (time), to this day"
3085,impfen,to vaccinate; inoculate
3086,implodieren,to implode
3087,in,"in, into"
3088,in aller ruhe,"really calmly, unhurriedly"
3089,in der nähe der uni,near the university
3090,in voller fahrt sein,to be in full swing
3091,in letzter zeit,lately; recently; of late
3092,in ohnmacht fallen,"to faint, pass out"
3093,in ordnung!,all right! ok!
3094,in pension gehen,"to go on a pension, to retire"
3095,inbegriffen,inclusive
3096,indien,india
3097,industrialisiert,industrialised
3098,informiert,informed
3099,inklusive,inclusive of; including
3100,innen,on the inside
3101,ins bett,(go) to bed
3102,ins konzert,(go) to a concert
3103,insgesamt,altogether (1)
3104,intelligent,intelligent
3105,interessant,interesting
3106,interessieren,to interest
3107,interkulturell,intercultural
3108,international,international
3109,investieren,to invest
3110,inzwischen,meanwhile
3111,irgendetwas,something; anything; something or other
3112,irgendein,any (one thing)
3113,irgendwo,somewhere
3114,irisch,irish (adj.)
3115,irland,ireland
3116,irren,to err
3117,irren ist menschlich.,to err is human.
3118,israel,israel
3119,israelisch,israeli (adj.)
3120,italien,italy
3121,italienisch,italian (adj.)
3122,ja,yes
3123,"jahraus, jahrein","year in, year out"
3124,jährlich,yearly
3125,japan,japan
3126,je,"each, every"
3127,jedenfalls,in any case
3128,"jeder, jede, jedes","each, every, everybody (masc, fem, neut)"
3129,jeder kann sich mal irren.,anyone can make a mistake
3130,jeder hat sein kreuz  zu tragen.,everyone has their own cross to bear.
3131,jederzeit,(at) any time
3132,jedes mal,every time; whenever
3133,jemals,ever
3134,jemand,someone
3135,jemand anders,somebody else
3136,jemanden gern haben,to like somebody
3137,jemanden übers ohr hauen,to cheat someone
3138,jemandem den stuhl vor die tür setzen,to throw somebody out
3139,jemandem zu etwas verhelfen,to help somebody get something
3140,jener,"that (demonstrative, formal only)"
3141,jetzt,now
3142,jetzt bist du dran.,now it's your turn.
3143,jobben,to work (part-time)
3144,joggen,to jog
3145,jüdisch,jewish
3146,jugendlich,youthful
3147,jung,young
3148,kalifornien,california
3149,kalt,cold
3150,kämmen,to comb
3151,kanada,canada
3152,kanadisch,canadian (adj.)
3153,kapieren,"to ""get it"" (= to understand)"
3154,kaputt,"broken, not working, dead"
3155,"kaputtfahren, fuhr kaputt, kaputtgefahren",to drive into the ground
3156,kaputtmachen,"to destroy, break, ruin"
3157,kariert,"plaid, check, chequered"
3158,kaufen,to buy
3159,kaum,"hardly, scarcely"
3160,kehren,to sweep
3161,kein,"no, not any"
3162,keine angst!,don't worry!
3163,"kennen, kannte, gekannt",to be familiar with; to know (place or person)
3164,kennen lernen,to get to know
3165,kinderlos,childless
3166,kindisch,childish
3167,kindlich,childlike
3168,klagen über,to complain about sth/sb
3169,klar!,of course!
3170,klassenlos,classless
3171,klassisch,classical
3172,kleben,"to glue, to stick on"
3173,kleiden,to dress
3174,klein,small
3175,klingeln,to ring
3176,klopfen,to knock
3177,klug,smart
3178,knabbern,to nibble
3179,knüpfen,"1. to network, get to know people;  2. to tie; to mesh a net"
3180,knallrot,bright red
3181,knipsen,"to clip, to snap"
3182,knutschen,"to smooch, to snog"
3183,kochen,to cook
3184,köln,cologne
3185,kolumbien,colombia
3186,kombinieren,to combine
3187,komfortabel,"comfortable, luxurious"
3188,komisch,"1.funny, amusing; 2. funny (peculiar), strange"
3189,"kommen, kam, gekommen",to come
3190,kommend,coming
3191,kommunistisch,communist
3192,kompliziert,complicated
3193,"können, konnte",can; to be able to
3194,konservativ,conservative
3195,kontaktorientiert,contact-oriented
3196,kopieren,to copy
3197,korea,korea
3198,korrigieren,to correct
3199,kosten,to cost
3200,kostenlos,free (of charge)
3201,kotzen,"to puke, to throw up"
3202,krabbeln,to crawl
3203,krank,sick
3204,kreativ,creative
3205,kreischen,to screech; schriek
3206,kriegen,"to get, to catch sth, to make war"
3207,kritisch,critical
3208,kritisieren,to criticise
3209,kroatien,croatia
3210,krumm,"crooked, bent, shady"
3211,kuba,cuba
3212,kühl,cool (temperature)
3213,kündigen,to hand in one's notice / to quit / to cancel
3214,künstlerisch,artistic
3215,kurz,short
3216,kuschelig,cuddly
3217,lächeln,to smile
3218,lachen,to laugh
3219,lächerlich,ridiculous
3220,"laden, lud, geladen",to load
3221,lahm,lame
3222,landen,to land
3223,lang,long
3224,langsam,slow
3225,langweilig,boring
3226,lass mich in ruhe!,stop bothering me! / leave me in peace!
3227,"lassen, ließ, gelassen","to leave, to let"
3228,latein,latin (language)
3229,"laufen, lief, gelaufen","to run, to go, to walk"
3230,lausig,"lousy, awful"
3231,laut,loud
3232,lauwarm,lukewarm
3233,leben,to live (existentially)
3234,lebenswichtig,"vital, essential"
3235,lebhaft,lively
3236,leblos,lifeless
3237,lecker,delicious
3238,ledig,"single, unmarried"
3239,leer,empty
3240,leeren,to empty
3241,legen,"to lay, to put in a horizontal position"
3242,lehren,to teach
3243,leicht,"light, easy"
3244,es tut jemandem leid,it makes somebody feel sorry
3245,"leiden, litt, gelitten",to suffer
3246,leider,unfortunately
3247,"leihen, lieh, geliehen",to lend
3248,"sich leihen, lieh, geliehen",to borrow
3249,leisten,to achieve
3250,lernen,"to learn, to study"
3251,"lesen, las, gelesen",to read
3252,lettland,latvia
3253,letzt,last
3254,letztes jahr,last year
3255,lieb,dear
3256,liebe grüße,love (closing of a letter)
3257,lieben,to love
3258,lieber,"rather, prefer, sooner"
3259,"lieber, liebe ...","dear ... (masc, fem)"
3260,lieblings-,favourite-
3261,lieblos,loveless
3262,liechtenstein,liechtenstein
3263,liefern,"to deliver, supply"
3264,"liegen, lag, gelegen","to lie, to be lying [positional]"
3265,lila,purple
3266,links,on the left
3267,lispeln,to lisp
3268,litauen,lithuania
3269,lockig,curly
3270,löschen,to extinguish; to delete
3271,lösen,to solve
3272,"lügen, log, gelogen","to lie, to make up sth"
3273,lust haben,to feel like [doing] sth
3274,lustig,"cheerful, jolly, funny,"
3275,luxemburg,luxembourg
